Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs
2014,2894.79,221.59,-,15251.66,1382.81,2.23,2.23,60010,1840
2014,175.3,16.4,-,1690,411.4,0,1.38,9783,4472
2014,1506,105.5,79.87,11900,8431.86,0,37.84,56000,4723
2014,1538.81,103.84,76.29,14300,6003.29,0,28.61,33400,7918
2014,1584.29,93.09,-,12800,1503.67,0,0,94083,21983
2013,750.76,62.33,-,5560,1144.19,0,2.99,5585,4450
2013,820.69,63.39,48.19,5420,314.49,2.85,10.23,118000,37880
2013,221.73,15.06,22.75,4052,1575.98,0.37,1.11,18900,128
2013,247.28,14.13,26.53,5776,2739.29,0.36,0.02,49693,4164
2013,437.58,30.17,43.99,2960,703.98,3.92,2.59,105667,13534
2013,1051.04,56.55,58.62,16649.7,812.2,0,0.9,2998,266243
2013,2906.32,147.24,205.55,28000,4750.75,0.27,5.56,105500,31950
2013,597.46,25.54,37.21,3740,829.05,0,7.08,16534,2230
2013,282.89,13.89,22.21,2660,940.05,0.06,0.85,11160,1721
2013,441.02,20.89,-,5980,-,0,-,39364,-
2013,226.66,9.3,13.23,1600,525.49,0,1.18,77965,855
2013,160.53,9.54,14.21,9230,604.95,0,0.02,69800,7046
2013,146.46,5.9,7.92,970.86,688.39,0,0.28,37380,1082
2013,139.62,8.61,6.82,1770,452.83,0,0.11,753353,15584
2013,812.03,68.48,-,6500,-,0,-,47465,-
2013,175.3,16.4,19.3,1690,279.87,0.29,1.44,9783,3036
2013,309.86,24.7,-,3031,233.54,0,0,36348,2931
2013,1506,106.08,105.04,11900,5834.9,0,23.58,56000,4170
2013,1538.81,104.47,93.81,14300,4661.79,0,0.87,33400,3973
2013,1584.29,94.33,168.6,12800,4392.61,0,0,94083,77955
2012,750.76,62.33,-,5560,2683.72,0,7.58,5585,4450
2012,820.69,63.57,-,5420,6639.48,2.85,0,118000,37880
2012,221.73,14.86,24.12,4052,1333,0.37,3.04,18900,2503
2012,247.28,13.91,22.04,5776,3058,0.36,3.18,49693,11218
2012,437.58,29.44,48.28,2960,1715.44,3.92,0.47,105667,-
2012,1051.04,56.47,81.62,16649.7,1892.6,0,6.08,2998,-
2012,2906.32,145,61.93,28000,2459,0.27,6.04,105500,55600
2012,597.46,25.34,35.9,3740,1269.47,0,4.94,16534,1925
2012,282.89,13.3,19.26,2660,871.17,0.06,1.01,11160,3205
2012,441.02,20.89,-,5980,-,0,-,39364,-
2012,226.66,9.14,-,1600,432.98,0,432.98,77965,1416
2012,160.53,9.54,-,9230,926.75,0,0,69800,5869
2012,146.46,5.84,-,970.86,-,0,-,37380,859
2012,139.62,8.68,17.82,1770,2224.75,0,0.12,753353,-
2012,812.03,68.48,-,6500,-,0,-,47465,-
2012,309.86,24.7,-,-,-,0,-,36348,-
2012,1506,106.11,132.16,11900,5502.9,0,43.28,56000,-
2012,1538.81,104.42,-,14300,-,0,-,33400,11416
2012,1584.29,95.01,-,12800,-,0,-,94083,
2011,750.76,62.33,-,5560,1847.79,0,6.96,5585,1006
2011,820.69,63.57,60.69,5420,4161.47,2.85,3.41,118000,15809
2011,221.73,14.63,13.28,4052,1224,0.37,2.34,18900,43
2011,247.28,13.76,8.75,5776,950,0.36,1.5,49693,190
2011,437.58,28.404,17.47,2960,348.87,3.92,2.31,105667,-
2011,1051.04,55.46,38.67,16649.7,384.76,0,0.53,2998,-
2011,2906.32,142.58,61.93,28000,2459,0.27,6.04,105500,57709
2011,597.46,25.15,21.83,3740,324.95,0,6.45,16534,2806
2011,282.89,12.84,10.79,2660,289.66,0.06,0.62,11160,604
2011,441.02,20.89,-,5980,-,0,-,39364,-
2011,226.66,9.14,7.25,1600,257.09,0,0.28,77965,5589
2011,160.53,9.54,2.35,9230,180.84,0,0,69800,9779
2011,146.46,5.84,-,970.86,-,0,-,37380,983
2011,139.62,8.31,-,1770,288.01,0,0.12,753353,-
2011,812.03,68.48,-,6500,-,0,-,47465,-
2011,175.3,16.27,12.9,1690,1157.78,0.29,0.37,9783,8607
2011,309.86,24.7,35.33,-,-,0,-,36348,-
2011,1506,105.49,127.82,11900,6976.02,0,1.48,56000,-
2011,1538.81,104.42,119.34,14300,5442.75,0,6.3,33400,-
2011,1584.29,95.01,210.39,12800,2668.68,0,7.5,87417,-
2010,750.76,62.33,-,5560,634.92,0,1.16,5585,1061
2010,820.69,63.62,64.76,5420,1916.33,2.85,9.32,118000,8445
2010,221.73,14.66,10.66,4052,107.07,0.37,2.72,18900,56
2010,247.28,13.85,16.31,5776,1088,0.36,1.26,49693,166
2010,437.58,29.04,28.82,2960,361.2,3.92,11.58,105667,258
2010,1051.04,56.16,52.51,16649.7,885.95,0,3.33,2998,374
2010,2906.32,145.95,69.11,28000,2380,0.27,4.29,105500,54200
2010,597.46,25.21,27.37,3740,483.59,0,5.66,16534,1642
2010,282.89,13.01,-,2660,507.94,0.06,0.8,11160,613
2010,441.02,20.89,-,5980,-,0,-,39364,-
2010,226.66,9.18,9.49,1600,591.97,0,0.06,77965,3753
2010,160.53,9.68,-,9230,1409.31,0,0,69800,6782
2010,146.46,5.84,-,970.86,1352.34,0,0,37380,1100
2010,139.62,8.31,-,1770,288.01,0,0.12,753353,12682
2010,812.03,68.48,-,6500,-,0,-,47465,-
2010,175.3,16.35,22.56,1690,1178.37,0.29,0.49,9783,9783
