Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1997,139.62,7.86,7.27,1770.00,-,0.00,0.00,88500,753353,25666
1997,812.03,67.08,48.14,6500.00,520.00,0.00,9.74,-,47465,3678
1997,175.30,16.44,18.06,1690.00,391.00,0.34,2.20,4971,2388,959
1997,309.86,23.25,27.83,4350.00,920.00,0.00,0.85,-,28706,2661
1997,1506.00,96.04,67.59,11900.00,2220.00,16.50,32.20,717,56000,3640
1997,1538.81,102.98,90.63,14300.00,3150.00,12.00,37.20,1135,33400,2160
1997,1584.29,93.77,47.44,12800.00,1310.00,0.41,5.25,31220,64000,14958
1996,622.80,35.81,34.90,9110.00,-,0.86,2.79,6650,35715,-
1996,820.69,62.11,66.28,4580.00,3020.00,2.85,11.60,1607,118000,15106
1996,221.73,13.76,14.85,1910.00,1610.00,0.37,1.56,5162,18900,4740
1996,247.28,13.25,14.00,3640.00,1460.00,0.36,0.42,10111,49693,2950
1996,633.18,31.12,39.21,6340.00,4400.00,0.06,0.76,105667,24500,11900
1996,417.08,24.73,24.04,1471.64,1090.00,3.30,3.91,446,49253,1286
1996,1980.65,116.63,91.11,13500.00,5630.00,5.41,18.90,23276,21500,1890
1996,2090.62,85.96,93.57,8320.00,8320.00,6.00,11.00,1387,37170,11974
1996,597.46,24.49,21.14,3640.00,1150.00,0.00,4.60,-,16534,1823
1996,149.68,7.57,10.00,2160.00,2160.00,0.00,0.46,-,8240,2275
1996,441.02,18.53,23.05,5980.00,2040.00,0.00,1.00,-,39364,39364
1996,226.66,8.53,6.48,1600.00,399.00,0.00,0.31,-,23833,1683
1996,1115.90,26.55,16.90,4000.00,2010.00,0.00,0.01,-,160996,13637
1996,146.46,5.22,2.98,608.00,271.00,0.00,0.00,-,37380,167
1996,139.62,7.90,3.80,1770.00,-,0.01,0.01,88500,753353,26271
1996,812.03,67.58,51.26,6500.00,6500.00,0.00,6.30,-,47465,14839
1996,175.30,16.39,15.68,1690.00,1290.00,0.34,1.40,4971,2388,897
1996,309.86,23.12,28.37,4350.00,3190.00,0.00,0.30,-,28706,9256
1996,1506.00,97.09,89.36,11900.00,3090.00,16.50,23.80,717,56000,5030
1996,1538.81,103.43,104.33,14300.00,5110.00,12.00,18.00,1135,33400,12300
1996,1584.29,94.69,90.29,12800.00,4370.00,0.41,2.70,31220,64000,37290
1995,622.80,35.84,22.43,9110.00,120.05,0.86,0.86,6650,35715,17
